test_id,iphone_device_id,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,pre_connection_type,post_connection_type,isp_name,is_isp,network_operator_name,iso_country_code,mcc,mnc,model,version,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address
2766394091,79743669,"2018-08-01 00:00:05","1.46.xxx.xxx",10791,6587,28,"Ayutthaya","TH","TH",14.3692,100.5877,"AIS","Thailand","TH","Phichit","66","Ban Bang Lai",16.193,100.120,129.991,12,12,"DTAC","1","dtac","TH","520","5","iPhone 6S","11.4.1",1,"Laem Rang, Bueng Na Rang District, Phichit, Thailand","Laem Rang","locality","Thailand","TH","Phichit","Bueng Na Rang District","","66130",""
2766394093,107102480,"2018-08-01 00:00:05","201.191.xxx.xxx",27407,1035,23,"San Jose","Costa Rica","CR",9.9247,-84.0781,"Costa Rica Servers","Costa Rica","CR","San Jose","SJ","San José",9.906,-84.064,1.56434,12,12,"Grupo ICE","1","Kolbi ICE","CR","712","1","iPhone 7","11.4.1",1,"San José, Costa Rica","San José","locality","Costa Rica","CR","San Jose","","","",""
2766394094,134049452,"2018-08-01 00:00:05","5.38.xxx.xxx",14029,2357,36,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Etisalat","United Arab Emirates","AE","Dubai","DU","Dubai",25.215,55.278,2.73161,6,6,"Emirates Telecommunications Corporation","1","etisalat","AE","424","2","iPhone10,6","11.4.1",1,"Dubai - Dubai - United Arab Emirates","Dubai","locality","United Arab Emirates","AE","Dubai","","","",""
2766394096,138152658,"2018-08-01 00:00:05","172.58.xxx.xxx",8767,1742,96,"Mississippi State, MS","United States","US",33.4537,-88.7900,"Mississippi State University","United States","US","Alabama","AL","Tuscaloosa",33.223,-87.559,72.8619,1,0,"T-MOBILE USA","1","MetroPCS","US","310","260","iPhone SE","12.0",1,"Tuscaloosa, AL, USA","Tuscaloosa","locality","United States","US","Alabama","Tuscaloosa County","","35406",""
2766394102,84875209,"2018-08-01 00:00:05","99.116.xxx.xxx",13391,794,23,"Tucker, GA","United States","US",33.8500,-84.1700,"AT&T","United States","US","Georgia","GA","Bogart",33.909,-83.515,37.8145,3,0,"AT&T U-verse","1","","","","","AppleTV5,3","11.4.1",2,"Oconee County, GA, USA","Oconee County","administrative_area_level_2","United States","US","Georgia","Oconee County","","30622",""
2766394106,146870456,"2018-08-01 00:00:06","5.171.xxx.xxx",15051,3705,34,"Lonato del Garda","Italy","IT",45.4667,10.4833,"Chobi - IT Services","Italy","IT","Veneto","34","Caluri",45.374,10.875,20.0634,1,0,"Telecom Italia Mobile","1","Carrier","IT","222","7","iPhone5","10.3.3",1,"Villafranca di Verona, Province of Verona, Italy","Villafranca di Verona","administrative_area_level_3","Italy","IT","Veneto","Province of Verona","Villafranca di Verona","37069",""
2766394111,145129489,"2018-08-01 00:00:07","42.111.xxx.xxx",15938,10416,24,"Chennai","India","IN",13.0827,80.2707,"Vodafone India","India","IN","Tamil Nadu","TN","Chennai",13.095,80.291,1.62082,12,12,"Vodafone India","1","Vodafone India","IN","404","84","iPhone 6","11.4.1",1,"Chennai, Tamil Nadu, India","Chennai","locality","India","IN","Tamil Nadu","Tiruvallur","","600001",""
2766394117,123926936,"2018-08-01 00:00:07","223.179.xxx.xxx",719,3672,26,"Barpeta","India","IN",26.3215,90.9820,"ShreeNortheast Connect & Services P. Ltd","India","IN","Assam","AS","Guwahati",26.183,91.733,47.5774,12,12,"BHARTI Airtel","1","AirTel","IN","404","16","iPhone5S","11.4.1",2,"Guwahati, Assam 781001, India","Guwahati","locality","India","IN","Assam","Kamrup Metropolitan","","781030",""
2766394118,135789844,"2018-08-01 00:00:07","223.238.xxx.xxx",6753,2640,124,"Jaipur","India","IN",26.9260,75.8235,"Click4Net Internet Services Private Limited","India","IN","Rajasthan","RJ","Amarwasi",25.757,75.376,85.4255,12,12,"Airtel","1","AirTel","IN","404","70","iPhone 7","11.4.1",1,"Deoli, Rajasthan 304804, India","Deoli","locality","India","IN","Rajasthan","Tonk","","304804",""
2766394120,78153872,"2018-08-01 00:00:07","201.130.xxx.xxx",27856,3707,65,"Mexico City","Mexico","MX",19.4300,-99.1300,"izzi","Mexico","MX","Federal District","CMX","Mexico City",19.347,-99.129,5.70523,12,12,"AT&T Comunicaciones Digitales S De Rl","1","AT&T","MX","334","50","iPhone 6S","11.4.1",1,"Mexico City, Federal District, Mexico","Mexico City","locality","Mexico","MX","Federal District","","","04240",""
2766394133,100659460,"2018-08-01 00:00:08","85.118.xxx.xxx",21294,23729,22,"Sofia","Bulgaria","BG",42.6544,23.3649,"Telenor Bulgaria","Bulgaria","BG","Sofia-city","22","Sofia",42.718,23.297,5.59249,12,12,"A1 Bulgaria","1","Mtel BG","BG","284","1","iPhone 7 Plus","11.4.1",1,"Sofia, Bulgaria","Sofia","locality","Bulgaria","BG","Sofia-city","Sofia","","1345",""
2766394139,147255934,"2018-08-01 00:00:08","172.56.xxx.xxx",64786,15911,31,"New York, NY","United States","US",40.7127,-74.0059,"CCleaner","United States","US","New Jersey","NJ","Clifton",40.889,-74.160,14.6968,12,12,"T-MOBILE USA","1","T-Mobile","US","310","260","iPhone10,1","11.4.1",1,"Clifton, NJ, USA","Clifton","locality","United States","US","New Jersey","Passaic County","","07011",""
2766394145,146776445,"2018-08-01 00:00:09","201.130.xxx.xxx",25074,24700,46,"Aguascalientes","Mexico","MX",21.8842,-102.2911,"TRANSTELCO","Mexico","MX","Aguascalientes","AGU","Aguascalientes",21.855,-102.272,2.30496,12,12,"AT&T Comunicaciones Digitales S De Rl","1","AT&T","MX","334","50","iPhone10,6","11.4.1",1,"Aguascalientes, Aguascalientes, Mexico","Aguascalientes","locality","Mexico","MX","Aguascalientes","Aguascalientes","","20266",""
2766394151,144543772,"2018-08-01 00:00:09","113.185.xxx.xxx",94227,33076,25,"Ho Chi Minh City","Vietnam","VN",10.7500,106.6667,"FPT Telecom","Vietnam","VN","Binh Phuoc","58","Xa Tan Khai",11.517,106.743,53.3422,2,12,"Vietnam Posts And Telecommunications Group","1","VinaPhone","VN","452","2","iPhone 6S","12.0",1,"Minh Lập, Vietnam","Minh Lập","administrative_area_level_3","Vietnam","VN","Minh Lập","","","",""
2766394157,143749697,"2018-08-01 00:00:10","66.87.xxx.xxx",3417,2461,82,"San Jose, CA","United States","US",37.3041,-121.8727,"Sprint","United States","US","California","CA","Oakland",37.768,-122.221,37.3739,12,12,"Sprint PCS","1","Sprint","US","310","120","iPhone10,2","11.4.1",1,"Oakland, CA, USA","Oakland","locality","United States","US","California","Alameda County","","94601",""
2766394158,98115233,"2018-08-01 00:00:10","39.12.xxx.xxx",95,119,20,"Taipei","Taiwan","TW",25.0333,121.5333,"kbro Co., Ltd.","Taiwan","TW","Taipei City","TPE","Taipei",25.084,121.551,3.71396,12,12,"Far EasTone Telecommunication Co.","1","遠傳電信","TW","466","1","iPhone 6 Plus","11.3",1,"Taipei, Taipei City, Taiwan","Taipei","locality","Taiwan","TW","Taipei City","","","104",""
2766394160,145438458,"2018-08-01 00:00:10","99.203.xxx.xxx",28970,2719,39,"Houston, TX","United States","US",29.7631,-95.3631,"Sprint","United States","US","Texas","TX","Houston",29.770,-95.362,0.491507,12,12,"Sprint PCS","1","Sprint","US","310","120","iPhone10,2","11.4.1",2,"Houston, TX, USA","Houston","locality","United States","US","Texas","Harris County","","77002",""
2766394163,80842347,"2018-08-01 00:00:10","94.166.xxx.xxx",20201,2483,40,"Guidonia Montecelio","Italy","IT",42.0000,12.7167,"Wind Tre","Italy","IT","Emilia-Romagna","45","Ferrara",44.819,11.609,202.813,5,5,"Wind Tre","1","3 ITA","IT","222","99","iPad Air 2","11.3",1,"Ferrara, Province of Ferrara, Italy","Ferrara","locality","Italy","IT","Emilia-Romagna","Province of Ferrara","Ferrara","44122",""
2766394171,131231642,"2018-08-01 00:00:11","166.216.xxx.xxx",43660,3943,35,"Sacramento, CA","United States","US",38.5556,-121.4689,"Comcast","United States","US","California","CA","Sacramento",38.679,-121.526,9.13292,12,12,"AT&T Wireless","1","AT&T","US","310","410","iPhone10,6","11.4.1",1,"Sacramento, CA, USA","Sacramento","locality","United States","US","California","Sacramento County","","95835",""
2766394174,76697672,"2018-08-01 00:00:11","2.55.xxx.xxx",4125,2770,28,"Rishon LeZion","Israel","IL",31.9484,34.8890,"Cellcom Israel","Israel","IL","Center District","M","Karme Yosef",31.846,34.923,7.31496,12,12,"Orange Israel","1","Partner Israel","IL","425","1","iPhone 6S Plus","11.4.1",1,"Karmei Yosef, Israel","Karmei Yosef","locality","Israel","IL","Center District","Ramla","","",""
2766394175,101213354,"2018-08-01 00:00:11","111.71.xxx.xxx",13438,9926,28,"Taipei","Taiwan","TW",25.0333,121.5333,"Taiwan Fixed Network","Taiwan","TW","Taipei City","TPE","Taipei",25.060,121.508,2.41338,12,12,"Chunghwa Telecom","1","中華電信","TW","466","92","iPhone 6 Plus","10.3.3",1,"Taipei, Taipei City, Taiwan","Taipei","locality","Taiwan","TW","Taipei City","","","103",""
2766394178,136774522,"2018-08-01 00:00:11","85.255.xxx.xxx",15352,6273,38,"London","United Kingdom","GB",51.5171,-0.1062,"Structured Communications","United Kingdom","GB","Essex","ESS","Margaretting",51.689,0.410,25.2005,12,12,"Vodafone Limited","1","vodafone UK","GB","234","15","iPhone10,6","11.4.1",1,"Ingatestone, Essex CM4, UK","Margaretting","locality","United Kingdom","GB","England","Essex","Chelmsford, Margaretting","CM4",""
2766394179,145163027,"2018-08-01 00:00:11","176.47.xxx.xxx",28238,20768,159,"Gaza","Palestine","PS",31.5167,34.4500,"NetStream","Saudi Arabia","SA","Tabuk Province","07","Tabuk",29.159,36.076,189.73,12,12,"SaudiNet","1","STC","SA","420","1","iPhone 6","11.3",1,"Halat Ammar Saudi Arabia","Halat Ammar","locality","Saudi Arabia","SA","Al Jowf","","","47795",""
2766394201,127395357,"2018-08-01 00:00:13","217.66.xxx.xxx",19360,8231,31,"Saint Petersburg","Russian Federation","RU",59.9333,30.3333,"MTS OJSC","Russia","RU","Leningrad Oblast","LEN","Yukki",60.104,30.287,11.9581,12,12,"MTS PJSC","1","Mobile TeleSystems","RU","250","1","iPhone10,6","11.4",1,"Yukki, Leningradskaya oblast', Russia","Yukki","locality","Russia","RU","Leningrad Oblast","Vsevolozhsky District","","188652",""
2766394215,133102083,"2018-08-01 00:00:14","223.227.xxx.xxx",30175,6763,33,"Bangalore","India","IN",12.9716,77.5946,"TelexAir Telecom Pvt Ltd","India","IN","Karnataka","KA","Bengaluru",12.920,77.632,4.33881,12,12,"BHARTI Airtel","1","AirTel","IN","404","45","iPhone 6S","11.4.1",1,"Bengaluru, Karnataka 560001, India","Bengaluru","locality","India","IN","Karnataka","Bangalore Urban","","560034",""
2766394218,141061795,"2018-08-01 00:00:14","107.77.xxx.xxx",27130,14237,34,"San Antonio, TX","United States","US",29.4167,-98.5000,"AT&T","United States","US","Texas","TX","San Antonio",29.557,-98.654,13.4614,12,12,"AT&T Wireless","1","AT&T","US","310","410","iPhone 6","11.4.1",1,"San Antonio, TX, USA","San Antonio","locality","United States","US","Texas","Bexar County","","78249",""
2766394224,100696791,"2018-08-01 00:00:15","47.60.xxx.xxx",61252,16868,50,"El Chaparral","Spain","ES",38.0161,-0.6939,"ConnectFibra","Spain","ES","Valencian Community","VC","Campoamor R-5",37.912,-0.737,7.53363,12,12,"Vodafone Spain","1","vf es","ES","214","1","iPhone 6S","11.4.1",1,"Orihuela, Alicante, Spain","Orihuela","administrative_area_level_4","Spain","ES","Valencian Community","Alicante","Vega Baja del Segura, Orihuela","03189",""
2766394227,145326778,"2018-08-01 00:00:15","106.193.xxx.xxx",1570,764,129,"Pune","India","IN",18.5203,73.8567,"ICC Netspeed","India","IN","Maharashtra","MH","Pune",18.533,73.866,1.11309,12,12,"BHARTI Airtel","1","AirTel","IN","404","90","iPhone 6","11.4",2,"Pune, Maharashtra 411001, India","Pune","locality","India","IN","Maharashtra","Pune","","411001",""
2766394228,134330125,"2018-08-01 00:00:15","5.90.xxx.xxx",82121,16188,26,"Milan","Italy","IT",45.4640,9.1916,"Vodafone IT","Italy","IT","Veneto","34","Schiavon",45.692,11.653,120.221,12,12,"Vodafone Italia","1","Vodafone IT","IT","222","10","iPhone10,6","11.4.1",1,"Schiavon, Province of Vicenza, Italy","Schiavon","administrative_area_level_3","Italy","IT","Veneto","Province of Vicenza","Schiavon","36060",""
2766394230,131780257,"2018-08-01 00:00:15","103.7.xxx.xxx",6915,1614,38,"Ho Chi Minh City","Viet Nam","VN",10.7500,106.6667,"DTS Communication Technologies Corporation","Vietnam","VN","Ho Chi Minh","SG","Ho Chi Minh City",10.793,106.744,6.06544,6,6,"Vietnamobile Telecommunications Joint Stock Compan","1","Carrier","VN","452","5","iPad mini 3","11.4",1,"Ho Chi Minh City, Ho Chi Minh 70000, Vietnam","Ho Chi Minh City","locality","Vietnam","VN","Ho Chi Minh","","","",""
2766394233,129875122,"2018-08-01 00:00:15","1.128.xxx.xxx",54818,16395,30,"Brisbane","Australia","AU",-27.4728,153.0278,"Foxtel Broadband","Australia","AU","Queensland","QLD","Toowong",-27.487,152.990,2.47402,12,12,"Telstra Internet","1","Telstra","AU","505","1","iPhone10,3","11.4.1",1,"Toowong QLD, Australia","Toowong","locality","Australia","AU","Queensland","Brisbane City","","4066",""
2766394235,130739074,"2018-08-01 00:00:15","151.82.xxx.xxx",36441,18296,51,"Venice","Italy","IT",45.4375,12.3358,"ASDASD srl","Italy","IT","Veneto","34","Treviso",45.666,12.245,16.4525,12,12,"Wind Telecomunicazioni spa","1","I WIND","IT","222","88","iPhone10,5","11.4.1",2,"Treviso TV, Italy","Treviso","locality","Italy","IT","Veneto","Province of Treviso","Treviso","31100",""
2766394252,31952916,"2018-08-01 00:00:16","217.118.xxx.xxx",7001,5400,37,"Nizhny Novgorod","Russian Federation","RU",56.3264,44.0078,"Rostelecom","Russia","RU","Nizhny Novgorod Oblast","NIZ","Nizhniy Novgorod",56.340,43.952,2.34349,12,12,"VimpelCom","1","Beeline","RU","250","99","iPhone5","10.3.3",1,"Nizhny Novgorod, Nizhny Novgorod Oblast, Russia","Nizhny Novgorod","locality","Russia","RU","Nizhny Novgorod Oblast","gorod Nizhniy Novgorod","","603159",""
2766394254,147155015,"2018-08-01 00:00:17","46.166.xxx.xxx",35983,13591,19,"Chisinau","Moldova","MD",47.0000,28.9167,"Orange Moldova SA","Moldova","MD","Chisinau","CU","Chisinau",47.005,28.857,2.81931,12,12,"ORANGE MOLDOVA S.A.","1","Orange Moldova","MD","259","1","iPhone10,5","11.4.1",2,"Chisinau, Moldova","Chisinau","locality","Moldova","MD","Chisinau","","","",""
2766394255,129388750,"2018-08-01 00:00:17","223.139.xxx.xxx",536,16865,30,"Pingtung","Taiwan","TW",22.6761,120.4942,"Chief Telecom","Taiwan","TW","Taitung County","TTT","Pei-nan",22.809,121.049,36.6278,12,12,"Chunghwa Telecom","1","中華電信","TW","466","92","iPhone 7 Plus","11.4",1,"954, Taiwan, 台東縣卑南鄉泰安村","泰安村","administrative_area_level_4","Taiwan","TW","Taiwan Province","Taitung County","Beinan Township, 泰安村","954",""
2766394260,146780369,"2018-08-01 00:00:17","174.222.xxx.xxx",703,17678,75,"Las Vegas, NV","United States","US",36.1760,-115.1370,"Verizon","United States","US","Nevada","NV","Ely",39.247,-114.870,212.936,12,12,"VERIZON WIRELESS","1","Verizon","US","311","480","iPhone10,1","11.4.1",1,"Ely, NV 89301, USA","Ely","locality","United States","US","Nevada","White Pine County","","89301","2600:1010:b109:94fx:xxxx:xxxx:xxxx:xxxx"
2766394261,110951800,"2018-08-01 00:00:17","5.110.xxx.xxx",3779,1357,50,"Jeddah","Saudi Arabia","SA",21.5000,39.1833,"Mobily","Saudi Arabia","SA","Makkah Province","02","Mecca",21.414,39.705,34.1032,6,6,"Mobily","1","Mobily","SA","420","3","iPhone 7","11.2.6",1,"Mecca Saudi Arabia","Mecca","locality","Saudi Arabia","SA","Makkah Province","","","",""
2766394277,144981284,"2018-08-01 00:00:18","123.136.xxx.xxx",2886,2915,19,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"MyKRIS Asia Sdn Bhd","Malaysia","MY","Federal Territory of Kuala Lumpur","14","Kuala Lumpur",3.120,101.735,3.4437,12,12,"U Mobile Sdn Bhd","1","U Mobile","MY","502","18","iPhone 6","11.4.1",1,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Kuala Lumpur","locality","Malaysia","MY","Federal Territory of Kuala Lumpur","","","55300",""
2766394280,130899220,"2018-08-01 00:00:19","217.118.xxx.xxx",30840,8047,13,"Nizhny Novgorod","Russian Federation","RU",56.3264,44.0078,"Beeline","Russia","RU","Nizhny Novgorod Oblast","NIZ","Nizhniy Novgorod",56.289,44.071,3.51935,12,12,"VimpelCom","1","Beeline","RU","250","99","iPhone5S","11.4",1,"Nizhny Novgorod, Nizhny Novgorod Oblast, Russia","Nizhny Novgorod","locality","Russia","RU","Nizhny Novgorod Oblast","gorod Nizhniy Novgorod","","603087",""
2766394282,147330155,"2018-08-01 00:00:19","5.90.xxx.xxx",20471,4210,18,"Milan","Italy","IT",45.4640,9.1916,"EOLO","Italy","IT","Lombardy","25","Milan",45.464,9.189,0.103935,12,12,"Vodafone Italia","1","Vodafone IT","IT","222","10","iPhone 6","11.4.1",2,"Milan, Italy","Milan","locality","Italy","IT","Lombardy","Metropolitan City of Milan","Milan","20122",""
2766394289,107979194,"2018-08-01 00:00:19","37.110.xxx.xxx",341,2606,41,"Tashkent","Uzbekistan","UZ",41.2667,69.2167,"Super iMAX","Uzbekistan","UZ","Tashkent","TK","Tashkent",41.259,69.357,7.34756,12,12,"Beeline UZ","1","Beeline","UZ","434","4","iPhone 7","11.4.1",1,"Tashkent, Uzbekistan","Tashkent","locality","Uzbekistan","UZ","","","","",""
2766394295,147330156,"2018-08-01 00:00:19","174.216.xxx.xxx",28027,12087,33,"Walla Walla, WA","United States","US",46.0650,-118.3303,"Pocketinet Communications","United States","US","Washington","WA","Clarkston",46.421,-117.064,65.3792,12,12,"VERIZON WIRELESS","1","Verizon","US","311","480","iPhone10,3","11.4.1",1,"Clarkston, WA, USA","Clarkston","locality","United States","US","Washington","Asotin County","","99403",""
2766394302,102496569,"2018-08-01 00:00:20","103.52.xxx.xxx",17888,19740,95,"Yangon","Myanmar","MM",16.8000,96.1500,"Myanmar Speed Net Co., Ltd","Republic of the Union of Myanmar","MM","Yangon Region","06","Yangon",16.828,96.154,2.00399,12,12,"Myanma Posts and Telecommunications","1","Carrier","MM","414","1","iPhone 7 Plus","11.4.1",1,"Yangon, Myanmar (Burma)","Yangon","locality","Republic of the Union of Myanmar","MM","Yangon Region","","","",""
2766394303,133807111,"2018-08-01 00:00:20","93.106.xxx.xxx",49371,2823,13,"Helsinki","Finland","FI",60.1708,24.9375,"Datacenter Finland Oy","Finland","FI","Uusimaa","18","Helsinki",60.205,24.875,3.23679,12,12,"Telia Finland Oyj","1","Sonera","FI","244","91","iPad6,12","11.4.1",1,"Helsinki, Finland","Helsinki","locality","Finland","FI","Uusimaa","Helsinki","Helsinki","00350",""
2766394314,146972965,"2018-08-01 00:00:21","103.7.xxx.xxx",407,240,26,"Hanoi","Vietnam","VN",21.0285,105.8542,"Viettel IDC","Vietnam","VN","Hanoi","HN","Hanoi",20.997,105.845,2.24507,6,6,"Vietnamobile Telecommunications Joint Stock Compan","1","Carrier","VN","452","5","iPhone5","10.3.3",1,"Hanoi, Hoàn Kiếm, Hanoi, Vietnam","Hanoi","locality","Vietnam","VN","Hanoi","Hai Bà Trưng District","","",""
2766394316,140637104,"2018-08-01 00:00:21","174.231.xxx.xxx",69823,15059,48,"South Bend, IN","United States","US",41.6725,-86.2553,"HostColor LLC","United States","US","Indiana","IN","La Porte",41.572,-86.775,27.7889,12,12,"VERIZON WIRELESS","1","Verizon","US","311","480","iPhone10,2","11.3.1",1,"Scipio Township, IN, USA","Scipio Township","administrative_area_level_3","United States","US","Indiana","LaPorte County","Scipio Township","46350",""
2766394319,147330158,"2018-08-01 00:00:22","5.41.xxx.xxx",100701,30026,38,"Jeddah","Saudi Arabia","SA",21.2854,39.2376,"Saudi Telecom Company","Saudi Arabia","SA","Jazan","09","Salamah",16.962,42.833,380.261,12,12,"SaudiNet","1","STC","SA","420","1","iPhone 7","11.4.1",1,"Abu Arish Saudi Arabia","Abu Arish","locality","Saudi Arabia","SA","Jazan","","","84711",""
2766394321,126740141,"2018-08-01 00:00:22","5.90.xxx.xxx",34901,17359,26,"Lonato del Garda","Italy","IT",45.4667,10.4833,"Chobi - IT Services","Italy","IT","Veneto","34","Verona",45.436,10.990,24.6891,1,0,"Vodafone Italia","1","Vodafone IT","IT","222","10","iPhone10,6","12.0",1,"Verona VR, Italy","Verona","locality","Italy","IT","Veneto","Province of Verona","Verona","37122",""
2766394323,110193305,"2018-08-01 00:00:22","196.150.xxx.xxx",9638,19562,42,"Cairo","Egypt","EG",30.0566,31.2262,"Vodafone Egypt","Egypt","EG","Red Sea Governorate","BA","Hurghada",27.089,33.821,258.781,12,12,"Vodafone Egypt","1","Carrier","EG","602","2","iPad Air","10.3.3",1,"Hurghada, Qesm Hurghada, Red Sea Governorate, Egypt","Hurghada","locality","Egypt","EG","Red Sea Governorate","Qesm Hurghada","","",""
2766394327,112319177,"2018-08-01 00:00:22","182.232.xxx.xxx",40709,9381,33,"Samut Prakarn","Thailand","TH",13.5991,100.5998,"AIS","Thailand","TH","Chon Buri","20","Ban Bang Hak",13.499,101.029,29.6925,12,12,"AIS Mobile","1","AIS","TH","520","3","iPhone 7","11.4.1",1,"Tha Kham, Bang Pakong District, Chachoengsao, Thailand","Tha Kham","locality","Thailand","TH","Chachoengsao","Bang Pakong District","","24130","2001:44c8:4291:d47x:xxxx:xxxx:xxxx:xxxx"
2766394329,75912912,"2018-08-01 00:00:22","113.210.xxx.xxx",20977,1736,22,"Cyberjaya","Malaysia","MY",2.9225,101.6550,"Setia Haruman Technology","Malaysia","MY","Selangor","10","Kajang",2.978,101.799,10.6842,12,12,"Maxis Communications","1","Maxis","MY","502","12","iPhone 6S","11.4.1",1,"Kajang, Selangor, Malaysia","Kajang","locality","Malaysia","MY","Selangor","Hulu Langat","","43000",""
2766394331,123168776,"2018-08-01 00:00:23","5.168.xxx.xxx",21527,3594,21,"Perugia","Italy","IT",43.1122,12.3889,"Telecom Italia S.p.A.","Italy","IT","Umbria","55","Perugia",43.114,12.366,1.15478,12,12,"Telecom Italia Mobile","1","TIM","IT","222","1","iPhone 7 Plus","11.4.1",1,"Perugia, Italy","Perugia","locality","Italy","IT","Umbria","Province of Perugia","Perugia","06125",""
